record_id,period,scope,metric,value,unit,source_ref,status,notes
DPE-001,PSP-2019-2028,Parc Ardèche Habitat,Note moyenne d'attractivité,74,/100,ANCOLS-2023-014-02,ETABLI,"Diagnostic du PSP validé en 2019."
DPE-002,PSP-2019-2028,Parc Ardèche Habitat,Note technique moyenne pondérée,70,/100,ANCOLS-2023-014-02,ETABLI,"Près de 90 % des logements considérés attractifs au regard de leurs caractéristiques techniques."
DPE-003,PSP-2019-2028,Ensembles en QPV,Note moyenne d'attractivité,69,/100,ANCOLS-2023-014-02,ETABLI,"Sous-périmètre QPV."
DPE-004,PSP-2019-2028,Haute vallée de l'Eyrieux,Note moyenne d'attractivité,62,/100,ANCOLS-2023-014-02,ETABLI,"245 logements dans le périmètre cité par ANCOLS."
DPE-005,PSP-2019-2028,Plateau ardéchois,Note moyenne d'attractivité,62,/100,ANCOLS-2023-014-02,ETABLI,"125 logements dans le périmètre cité par ANCOLS."
DPE-006,PSP-2019-2028,Parc Ardèche Habitat,Logements sans DPE au diagnostic PSP,13,%,ANCOLS-2023-014-02,ETABLI,"Situation au diagnostic du PSP ; ne pas présenter comme valeur actuelle."
DPE-007,2022-2023,Parc diagnostiqué Ardèche Habitat,Classes A-B-C,17,%,ANCOLS-2023-014-02,ETABLI,"Répartition publiée après campagne de diagnostics lancée en 2022."
DPE-008,2022-2023,Parc diagnostiqué Ardèche Habitat,Classe D,23,%,ANCOLS-2023-014-02,ETABLI,"Répartition publiée après campagne de diagnostics lancée en 2022."
DPE-009,2022-2023,Parc diagnostiqué Ardèche Habitat,Classes E-F-G,50,%,ANCOLS-2023-014-02,ETABLI,"ANCOLS précise que 41 % du parc est classé E ; les catégories publiées totalisent 90 %, les 10 % restants ne sont pas réaffectés par l'observatoire."
DPE-010,2022-2023,Parc diagnostiqué Ardèche Habitat,Classe E,41,%,ANCOLS-2023-014-02,ETABLI,"Sous-part de la catégorie E-F-G publiée par ANCOLS."
INV-001,2019-2028,Plan stratégique de patrimoine,Coût global prévisionnel,238500000,EUR,ANCOLS-2023-014-02,ETABLI,"Prévision sur dix exercices, non dépense constatée."
INV-002,2019-2028,Plan stratégique de patrimoine,Production de nouveaux logements,137500000,EUR,ANCOLS-2023-014-02,ETABLI,"58 % du coût global prévisionnel du PSP."
INV-003,2019-2028,Plan stratégique de patrimoine,Interventions sur patrimoine existant,101000000,EUR,ANCOLS-2023-014-02,ETABLI,"42 % du coût global prévisionnel du PSP."
INV-004,2017-2021,Parc Ardèche Habitat,Amélioration du parc réalisée,15100000,EUR,ANCOLS-2023-014-02,ETABLI,"Sous-ensemble des 83,8 M€ d'investissements de la période ; ne pas confondre avec maintenance courante."
REH-001,2020,Parc Ardèche Habitat,Logements réhabilités réceptionnés,86,logements,ANCOLS-2023-014-02,ETABLI,"Aucune nouvelle opération lancée en 2020 selon ANCOLS."
REH-002,2021,Parc Ardèche Habitat,Logements réhabilités réceptionnés,100,logements,ANCOLS-2023-014-02,ETABLI,"Aucune nouvelle opération lancée en 2021 selon ANCOLS."
REH-003,2022,Parc Ardèche Habitat,Nouvelles opérations de réhabilitation lancées,2,opérations,ANCOLS-2023-014-02,ETABLI,"Ordres de service délivrés en 2022."
REH-004,2022,Parc Ardèche Habitat,Logements concernés par les opérations lancées,219,logements,ANCOLS-2023-014-02,ETABLI,"Montant associé publié : 7,068 M€."
REH-005,2022,Parc Ardèche Habitat,Montant des opérations de réhabilitation lancées,7068000,EUR,ANCOLS-2023-014-02,ETABLI,"Montant d'opérations lancées, non montant décaissé dans l'année."
REH-006,2017-2022,Parc Ardèche Habitat,Logements réhabilités réceptionnés,496,logements,ANCOLS-2023-014-02,ETABLI,"Cinq opérations livrées entre 2017 et 2022."
REH-007,2026,Résidence Bernaudin - Annonay,Logements concernés par la réhabilitation,212,logements,TED-212039-2026+TED-278867-2026,ETABLI,"Réhabilitation collective ; sept lots finalement attribués après relance du lot 6."
REH-008,2026,Résidence Bernaudin - Annonay,Somme arithmétique des sept lots attribués,6759974.28,EUR,TED-212039-2026+TED-278867-2026,DERIVE_CONTROLE,"Somme des valeurs contractuelles publiées ; ne pas assimiler au coût complet de l'opération."
