provider_id,canonical_name,published_name,siren,published_registration_number,awarded_siret,awarded_address,awarded_city,awarded_postal_code,current_legal_name,current_hq_siret,current_hq_address,current_hq_city,current_hq_postal_code,legal_form_current,identity_source_id,registry_source,registry_observed_at,identity_quality,status,notes
PRV-001,AVIPUR Ardèche / Haute-Loire,AVIPUR Ardèche / Haute-Loire,402340483,40234048300062,40234048300062,Chemin de Chamieux,Annonay,07100,AVIPUR Ardèche / Haute-Loire,40234048300062,Chemin de Chamieux,Annonay,07100,SAS,SRC-0016,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Établissement attributaire et siège actuel convergents.
PRV-002,CAMEV SAS CHIEZE ESPACES VERTS,CAMEV SAS CHIEZE ESPACES VERTS,352772495,35277249500011,35277249500011,49 RN 86 ZI de Verlieu,Chavanay,42410,CAMEV SAS CHIEZE ESPACES VERTS,35277249500011,Verlieu RN 86,Chavanay,42410,SAS,SRC-0020,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Libellé postal simplifié au registre ; même SIRET.
PRV-003,TERIDEAL TARVEL,SAS TERIDEAL,410344923,41034492300124,41034492300124,90 Rue André Citroën - CS 60009,Genas Cedex,69747,TERIDEAL TARVEL,41034492300488,13 Avenue Jeanne Garnerin,Wissous,91320,SAS,SRC-0020,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE_ETABLISSEMENT_ATTRIBUTAIRE_DISTINCT_SIEGE,Le SIRET attributaire de Genas est distinct du siège actuel transféré à Wissous en 2026.
PRV-004,ASSOCIATION TREMPLIN INSERTION CHANTIER,ASSOCIATION TREMPLIN INSERTION CHANTIER,414001586,41400158600026,41400158600026,,Tournon-sur-Rhône,07300,ASSOCIATION TREMPLIN INSERTION CHANTIER,41400158600026,20 Chemin du Repos,Tournon-sur-Rhône,07300,Association loi 1901 ou assimilé,SRC-0020,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,L'avis TED publie la commune et le code postal sans rue.
PRV-005,SAVELYS,ENGIE HOME SERVICES - Direction Régionale Auvergne Rhône-Alpes,301340584,,30134058403818,Europarc - 9 Rue Pascal,Bron Cedex,69673,SAVELYS,30134058407439,Tour Egée - 9 Allée de l'Arche,Courbevoie,92400,SAS,SRC-0021,RNE/INSEE,2026-09-17,OJS_ADDRESS_RNE_CONVERGENT,NORMALISE_CHRONOLOGIE_DENOMINATION,L'avis OJS publie ENGIE HOME SERVICES à Bron sans SIRET ; le SIRET 30134058403818 correspond à cet établissement. La personne morale a pris la dénomination SAVELYS en juin 2026 ; siège actuel distinct à Courbevoie.
PRV-006,MOUNARD TP,MOUNARD TP,344031919,34403191900030,34403191900030,291 ZA Les Rivets,Boulieu-lès-Annonay,07100,MOUNARD TP,34403191900030,291 Rivet - Zone d'activités,Boulieu-lès-Annonay,07100,SARL,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel.
PRV-007,SAS MALOSSE,SAS MALOSSE,794111807,79411180700036,79411180700036,14 Rue Henri Rey,Valence,26000,MALOSSE,79411180700036,14 Rue Henri Rey - ZAC de Briffaut Est,Valence,26000,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même SIRET ; le registre précise la zone d'activité.
PRV-008,SARL FACADES ARDECHOISES,SARL FACADES ARDECHOISES,433256237,43325623700028,43325623700028,78 Avenue Rhin et Danube,Annonay,07100,FACADES ARDECHOISES,43325623700028,78 Avenue Rhin et Danube,Annonay,07100,SARL,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel.
PRV-009,SAS BERNARD ET FILS,SAS BERNARD ET FILS,334147154,33414715400010,33414715400010,55 Chemin de Lachaux,Saint-Victor,07410,BERNARD ET FILS,33414715400010,1795 Route de Tournon,Saint-Victor,07410,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_SAME_SIRET_ADDRESS_EVOLUTION,NORMALISE_ADRESSE_ACTUALISEE,Même SIRET ; adresse publiée au marché et adresse actuelle du siège conservées séparément.
PRV-010,SAS SOBRABO,SAS SOBRABO,300475001,30047500100024,30047500100024,45 Rue Gilles de Roberval,Valence,26000,SOBRABO,30047500100024,45 Rue Gilles de Roberval - ZI Briffaut Ouest,Valence,26000,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même SIRET ; le registre précise la zone industrielle.
PRV-011,LUC ESCHARAVIL,SA LUC ESCHARAVIL,333427987,33342798700016,33342798700016,165 Avenue Jean Escharavil,Privas,07000,LUC ESCHARAVIL,33342798700016,165 Avenue Jean Escharavil,Privas,07000,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT_FORM_EVOLUTION,NORMALISE_FORME_JURIDIQUE_EVOLUEE,L'avis 2025 publie la forme SA ; transformation en SAS enregistrée en 2025. Même SIREN/SIRET et adresse.
PRV-012,SAS DELORME BATTANDIER,SAS DELORME BATTANDIER,335920302,33592030200023,33592030200023,16 Rue Léon Blum,Annonay,07100,DELORME BATTANDIER,33592030200023,16 Rue Léon Blum,Annonay,07100,SAS,SRC-0022,RNE/INSEE,2026-09-17,TED_RNE_CONVERGENT,NORMALISE,Même établissement attributaire et siège actuel.
