field,required,description,example_public_synthetic
equipment_id,yes,"Identifiant stable d'un équipement physique","BOILER-001"
building_id,yes,"Identifiant du bâtiment ou actif parent","BUILDING-001"
space_id,no,"Logement ou local technique sans donnée personnelle","UNIT-01"
equipment_category,yes,"Catégorie fonctionnelle","BOILER"
manufacturer,no,"Fabricant","EXAMPLE_BRAND"
model,no,"Modèle","MODEL-X"
serial_number_hash_or_public_id,no,"Identifiant public ou empreinte non réversible si nécessaire","PUBLIC-ID-001"
installation_date,no,"Date ou période d'installation","2024-01-15"
commissioning_date,no,"Date de mise en service","2024-01-16"
decommissioning_date,no,"Date de fin d'exploitation","2027-09-01"
event_id,yes,"Identifiant stable de l'événement","EVT-0001"
event_type,yes,"INSTALLATION|COMMISSIONING|MAINTENANCE|MEASUREMENT|FAULT|REPAIR|REPLACEMENT|DECOMMISSION","MAINTENANCE"
event_date,yes,"Date de l'événement si connue","2024-05-14"
state_before,no,"État avant événement","IN_SERVICE"
action,no,"Action réalisée","ANNUAL_MAINTENANCE"
measurement_type,no,"Type de mesure","CO_AMBIENT"
measurement_value,no,"Valeur mesurée","0"
measurement_unit,no,"Unité","ppm"
state_after,no,"État après événement","IN_SERVICE"
provider_name,no,"Prestataire intervenant","EXAMPLE_PROVIDER"
provider_siret,no,"SIRET lorsque public et utile","00000000000000"
document_type,no,"ATTESTATION|WORK_ORDER|REPORT|INVOICE|WARRANTY|PHOTO|OTHER","ATTESTATION"
document_date,no,"Date du document","2024-05-14"
document_reference,no,"Référence publique non personnelle","DOC-0001"
evidence_status,yes,"ETABLI|FORTEMENT_ETAYE|PLAUSIBLE|INDETERMINE|DIVERGENT|REFUTE","ETABLI"
source_url,no,"Source publique","https://example.org/"
notes,no,"Limites ou divergence à conserver","Synthetic example only"
