audit_id,observed_at,layer,control,observed_state,status,evidence,next_test,reference
WEB-AH-001,2026-09-20,current_home,refonte,"Page d'accueil annonçant une refonte et maintien de démarches essentielles",OBSERVED,"Observation manuelle mobile de https://www.ardechehabitat.fr/","Archiver chaque changement de version","https://www.ardechehabitat.fr/"
WEB-AH-002,2026-09-20,availability,http,"Navigateur mobile : page de refonte servie ; récupération web automatisée contemporaine : HTTP 503",DIVERGENT_ACCESS_PATH,"Deux chemins d’accès contemporains produisent des états différents ; cause non établie","Répéter multi-réseaux et multi-agents sans conclure à une indisponibilité générale","https://www.ardechehabitat.fr/"
WEB-AH-003,2026-09-20,legal,legal_notice_history,"Page et PDF de mentions légales indexés historiquement ; fetch actuel automatisé = HTTP 503 sur les deux chemins testés",DIVERGENT_HISTORICAL_LIVE,"Existence historique établie ; disponibilité actuelle non établie","Recontrôler depuis navigateur réel et après mise en production","https://www.ardechehabitat.fr/liste-des-actualites/166-mentions-legales.html"
WEB-AH-004,2026-09-20,legal,current_legal_notice,"Contenu courant non établi depuis la page de refonte",INDETERMINATE,"Ancien contenu ≠ état actuel","Contrôler éditeur, directeur publication, hébergeur, contacts","https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000049568614"
WEB-AH-005,2026-09-20,privacy,privacy_notice,"Aucune politique actuelle retrouvée par recherche ciblée",INDETERMINATE,"Absence de résultat de recherche uniquement","Recherche directe et audit des formulaires","https://www.cnil.fr/fr/conformite-rgpd-information-des-personnes-et-transparence"
WEB-AH-006,2026-09-20,privacy,dpo_contact,"Coordonnées actuelles du DPO non établies dans cette version",TO_TEST,"Recherche publique ciblée non concluante","Identifier le canal DPO publié","https://www.cnil.fr/fr/le-delegue-la-protection-des-donnees-dpo/devenir-delegue-la-protection-des-donnees"
WEB-AH-007,2026-09-20,privacy,cookies_tracking,"Cookies et traceurs actuels non caractérisés",TO_TEST,"Pas d'inventaire réseau dans la v0.1","Inspecter requêtes, cookies et stockage navigateur","https://www.cnil.fr/fr/cookies-et-autres-traceurs/regles"
WEB-AH-008,2026-09-20,accessibility,scope,"Ardèche Habitat est un OPH ; les OPH sont des établissements publics locaux à caractère industriel et commercial",ESTABLISHED,"CCH L421-1","Appliquer article 47 et RGAA","https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000053546314"
WEB-AH-009,2026-09-20,accessibility,publication,"Mention d'accessibilité, déclaration, schéma pluriannuel et plan annuel non établis dans l'état courant",TO_TEST,"Recherche ciblée non concluante","Audit RGAA 4.1.2 et contrôle de publication","https://accessibilite.numerique.gouv.fr/obligations/mentions-et-pages-obligatoires/"
WEB-AH-010,2026-09-20,forms,legacy_contact_form,"Ancien site indexé avec champs nom, e-mail, sujet, message et captcha ; ancienne URL testée aujourd’hui = HTTP 404",DIVERGENT_INDEX_LIVE,"Formulaire historique établi ; endpoint historique non servi sur ce chemin actuel","Identifier le nouveau canal et auditer l’information au point de collecte","https://www.ardechehabitat.fr/infos-pratiques/contacts-horaires-plan-d-acces.html"
