record_id,provider_name,provider_siret,market_ref,notice_system,notice_ref,lot,award_date,contract_date,market_object,function,asset_scope,commune,amount_ht_eur,framework_max_ht_eur,currency,source_id,source_quality,status,notes
MKT-001,SARL Savel Bernard et Fils,,pao_41_2017_034,BOAMP,18-14957,2,2017-09-20,,"Construction neuve de 17 logements locatifs sociaux — Résidence Boissy d'Anglas","gros œuvre","Résidence Boissy d'Anglas — 17 logements locatifs sociaux",Annonay,748000.00,,EUR,SRC-0013,PRIMARY,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 2 ; ne pas assimiler au coût total de l'opération"
MKT-002,SARL Reynouard Frères,,pao_41_2017_088,BOAMP,18-39970,2,2018-03-20,,"Construction neuve de 15 logements locatifs, d'un bistrot de pays, d'une salle communale et aménagement de la place publique — Résidence Le Chêne du Posas","terrassement / VRD","Résidence Le Chêne du Posas + bistrot de pays + salle communale + place publique",Sampzon,531969.31,,EUR,SRC-0014,PRIMARY,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 2 ; marché en groupement de commande"
MKT-003,SAS EHC,,pao_41_2017_088,BOAMP,18-39970,3,,,"Construction neuve de 15 logements locatifs, d'un bistrot de pays, d'une salle communale et aménagement de la place publique — Résidence Le Chêne du Posas","gros œuvre","Résidence Le Chêne du Posas + bistrot de pays + salle communale + place publique",Sampzon,580224.20,,EUR,SRC-0014,PRIMARY,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 3 ; date d'attribution non renseignée ici tant que la ligne complète n'est pas recontrôlée"
MKT-004,Entreprise Mommée Bernard,,pao_31_2016_019,BOAMP,16-121475,1,2016-05-17,,"Privas — Ilôt République et Ilôt ancien Hôpital","terrassements / VRD","2 maisons individuelles accolées + 14 logements collectifs",Privas,38682.94,,EUR,SRC-0015,PRIMARY,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 1 ; ne pas assimiler au coût total des deux opérations"
MKT-005,AVIPUR Ardèche / Haute-Loire,40234048300062,TED-534756-2024,TED,228192-2025,1,2024-11-12,2024-12-18,"Désinsectisation et dératisation du patrimoine Ardèche Habitat 2025-2028","désinsectisation / dératisation","Secteur agence d'Annonay — Nord Ardèche",Annonay,349704.00,400000.00,EUR,SRC-0016,PRIMARY,ETABLI_RESULTAT_MARCHE,"Accord-cadre ; valeur d'offre publiée distincte du plafond contractuel maximal"
MKT-006,AVIPUR Ardèche / Haute-Loire,40234048300062,TED-534756-2024,TED,228192-2025,2,2024-11-12,2024-12-18,"Désinsectisation et dératisation du patrimoine Ardèche Habitat 2025-2028","désinsectisation / dératisation","Secteur agence de Privas — Centre Ardèche",Privas,378736.00,400000.00,EUR,SRC-0016,PRIMARY,ETABLI_RESULTAT_MARCHE,"Accord-cadre ; valeur d'offre publiée distincte du plafond contractuel maximal"
MKT-007,AVIPUR Ardèche / Haute-Loire,40234048300062,TED-534756-2024,TED,228192-2025,3,2024-11-12,2024-12-18,"Désinsectisation et dératisation du patrimoine Ardèche Habitat 2025-2028","désinsectisation / dératisation","Secteur agence du Teil — Sud Ardèche",Le Teil,370824.00,400000.00,EUR,SRC-0016,PRIMARY,ETABLI_RESULTAT_MARCHE,"Accord-cadre ; valeur d'offre publiée distincte du plafond contractuel maximal"
MKT-008,CAMEV SAS CHIEZE ESPACES VERTS,,TED-699131-2024,TED,246037-2025,1,2025-01-21,2025-02-18,"Entretien des espaces verts du patrimoine Ardèche Habitat 2025-2028","espaces verts","Secteur Annonay et communes alentours",Annonay,22360.00,120000.00,EUR,SRC-0017,SECONDARY_REPRODUCTION_TED,ETABLI_REPRODUCTION_AVIS_TED,"Valeur d'offre reproduite depuis l'avis TED ; contrôle direct TED à conserver dans la file de vérification"
MKT-009,SAS TERIDEAL,,TED-699131-2024,TED,246037-2025,2,2025-01-21,2025-02-18,"Entretien des espaces verts du patrimoine Ardèche Habitat 2025-2028","espaces verts","Secteur Arras et communes alentours",Arras-sur-Rhône,17572.00,120000.00,EUR,SRC-0017,SECONDARY_REPRODUCTION_TED,ETABLI_REPRODUCTION_AVIS_TED,"Valeur d'offre reproduite depuis l'avis TED ; contrôle direct TED à conserver dans la file de vérification"
MKT-010,ASSOCIATION TREMPLIN INSERTION CHANTIER,,TED-699131-2024,TED,246037-2025,3,2025-01-21,2025-02-18,"Entretien des espaces verts du patrimoine Ardèche Habitat 2025-2028","espaces verts","Secteur Lamastre et communes alentours",Lamastre,239520.00,120000.00,EUR,SRC-0017,SECONDARY_REPRODUCTION_TED,PERIMETRE_VALEUR_A_CLARIFIER,"La reproduction de l'avis indique une valeur d'offre de 239 520 € et un plafond d'accord-cadre de 120 000 € pour le lot ; les métriques ne sont pas assimilées sans clarification"
MKT-011,ENGIE HOME SERVICES - Direction Régionale Auvergne Rhône-Alpes,,TED-542718-2023,OJS/TED,2024-S001-000987,,2023-11-22,2023-11-22,"Entretien des chauffe-eaux solaires et thermodynamiques et des pompes à chaleur aérothermiques du patrimoine Ardèche Habitat 2024-2027","chauffage / eau chaude / pompes à chaleur","Patrimoine Ardèche Habitat",Ardèche,77916.04,,EUR,SRC-0018,SECONDARY_REPRODUCTION_OJS,ETABLI_REPRODUCTION_AVIS_OJS,"Attribution publiée ; montant total du marché reproduit depuis l'avis OJS/TED ; contrôle direct TED à conserver dans la file de vérification"
