provider_id,canonical_name,published_name,siret,siren,city,postal_code,identity_source_id,identity_quality,status,notes
PRV-001,AVIPUR Ardèche / Haute-Loire,AVIPUR Ardèche / Haute-Loire,40234048300062,402340483,,,SRC-0016,PRIMARY_TED,NORMALISE,Identité reprise de l'avis TED 228192-2025
PRV-002,CAMEV SAS CHIEZE ESPACES VERTS,CAMEV SAS CHIEZE ESPACES VERTS,35277249500011,352772495,,,SRC-0020,PRIMARY_TED_REFERENCE,NORMALISE,SIRET présent dans la publication structurée rattachée à l'avis TED 246037-2025
PRV-003,SAS TERIDEAL,SAS TERIDEAL,41034492300124,410344923,,,SRC-0020,PRIMARY_TED_REFERENCE,NORMALISE,SIRET présent dans la publication structurée rattachée à l'avis TED 246037-2025
PRV-004,ASSOCIATION TREMPLIN INSERTION CHANTIER,ASSOCIATION TREMPLIN INSERTION CHANTIER,41400158600026,414001586,,,SRC-0020,PRIMARY_TED_REFERENCE,NORMALISE,SIRET présent dans la publication structurée rattachée à l'avis TED 246037-2025
PRV-005,ENGIE HOME SERVICES,ENGIE HOME SERVICES - Direction Régionale Auvergne Rhône-Alpes,30134058403818,301340584,,,SRC-0021,OJS_PLUS_ADDRESS_MATCH,NORMALISATION_PROVISOIRE,"SIRET rapproché de l'établissement de Bron, 9 rue Pascal ; contrôle administratif direct à maintenir"
PRV-006,MOUNARD TP,MOUNARD TP,34403191900030,344031919,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-007,SAS MALOSSE,SAS MALOSSE,79411180700036,794111807,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-008,SARL FACADES ARDECHOISES,SARL FACADES ARDECHOISES,43325623700028,433256237,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-009,SAS BERNARD ET FILS,SAS BERNARD ET FILS,33414715400010,334147154,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-010,SAS SOBRABO,SAS SOBRABO,30047500100024,300475001,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-011,SA LUC ESCHARAVIL,SA LUC ESCHARAVIL,33342798700016,333427987,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-012,SAS DELORME BATTANDIER,SAS DELORME BATTANDIER,33592030200023,335920302,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-013,SARL VALETTE R.SERRURERIE METALLERIE,SARL VALETTE R.SERRURERIE METALLERIE,51063773900010,510637739,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-014,SAS FEA,SAS FEA,44110010400039,441100104,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-015,SARL MENUISERIE CHINAPPI,SARL MENUISERIE CHINAPPI,41552828300036,415528283,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-016,SAS CREATION BATIMENT CINDO,SAS CREATION BATIMENT CINDO,49483241300038,494832413,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-017,EURL MCC CARRELAGE,EURL MCC CARRELAGE,83049058700011,830490587,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-018,SAS MAZET DENIS,SAS MAZET DENIS,32388673900016,323886739,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-019,SAS ETS LAPIZE DE SALLEE,SAS ETS LAPIZE DE SALLEE,33562032400053,335620324,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-020,SAS SANIPAC,SAS SANIPAC,32088832400045,320888324,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
PRV-021,SAS ORONA,SAS ORONA,43024385700116,430243857,,,SRC-0022,PRIMARY_TED,NORMALISE,Identifiant d'organisation publié avec l'attribution TED 252647-2025
