source_id,title,producer,url,source_type,territorial_level,publication_date,verification_date,primary_secondary,self_description,theme,status,notes
SRC-0001,Site institutionnel Ardèche Habitat,Ardèche Habitat,https://www.ardechehabitat.fr/,S4,local,,2026-09-16,primary,yes,institution,active,Source institutionnelle — auto-description
SRC-0002,ANCOLS,ANCOLS,https://www.ancols.fr/,S2,national,,2026-09-16,primary,no,control,active,Point d’entrée vers rapports de contrôle et études
SRC-0003,Légifrance,État français,https://www.legifrance.gouv.fr/,S1,national,,2026-09-16,primary,no,law,active,Textes juridiques en vigueur et historiques
SRC-0004,Département de l’Ardèche,Département de l’Ardèche,https://www.ardeche.fr/,S4,departmental,,2026-09-16,primary,yes,territory,active,Source institutionnelle — auto-description
SRC-0005,Région Auvergne-Rhône-Alpes,Région Auvergne-Rhône-Alpes,https://www.auvergnerhonealpes.fr/,S4,regional,,2026-09-16,primary,yes,territory,active,Source institutionnelle — auto-description
SRC-0006,Banque des Territoires,Caisse des Dépôts,https://www.banquedesterritoires.fr/,S5,national,,2026-09-16,primary,partly,finance,active,Financement du logement social
SRC-0007,data.gouv.fr,État français,https://www.data.gouv.fr/,S3,national,,2026-09-16,primary,no,open-data,active,Portail de données publiques
SRC-0008,INSEE,INSEE,https://www.insee.fr/,S3,national,,2026-09-16,primary,no,data,active,Données démographiques et économiques
SRC-0009,Ardèche Habitat — Gestion locative,Ardèche Habitat,https://www.ardechehabitat.fr/nos-activites/gestion-locative.html,S4,local,,2026-09-17,primary,yes,patrimony,active,"Page publique : 6 536 logements dans plus de 122 communes"
SRC-0010,Ardèche Habitat — Historique et chiffres clés,Ardèche Habitat,https://www.ardechehabitat.fr/qui-sommes-nous/historique-chiffres-cles.html,S4,local,,2026-09-17,primary,yes,patrimony,active,"Page publique : plus de 6 450 logements, plus de 124 communes, actifs annexes et objectif d’environ 80 logements/an"
SRC-0011,ANCOLS — Ardèche Habitat 2023-014-02,ANCOLS,https://www.ancols.fr/publications/rapports-de-controle/ardeche-habitat,S2,national,2024-12-05,2026-09-17,primary,no,finance,active,"Rapport de contrôle portant sur les exercices 2017-2021"
SRC-0012,Département de l’Ardèche — garantie de refinancement Ardèche Habitat,Département de l’Ardèche,https://www.ardeche.fr/cms_viewFile.php?idtf=4461&path=43%2F4461_064_RAA-CP-6D-16.pdf,S1,departmental,2026,2026-09-17,primary,no,finance,active,"Garantie d’un emprunt de 10 013 233 € auprès de La Banque Postale Crédit Entreprises pour refinancer 20 prêts CDC"
SRC-0013,BOAMP — résultat n°18-14957,BOAMP,https://www.boamp.fr/telechargements/PDF/2018/BOAMP-N-IC-AA_2018_032012/18-14957.pdf,S1,national,2018,2026-09-17,primary,no,procurement,active,"Résultat de marché Ardèche Habitat — Résidence Boissy d'Anglas à Annonay ; attributaires et montants par lot"
SRC-0014,BOAMP — résultat n°18-39970,BOAMP,https://www.boamp.fr/telechargements/PDF/2018/BOAMP-N-IC-AA_2018_081012/18-39970.pdf,S1,national,2018,2026-09-17,primary,no,procurement,active,"Résultat de marché Ardèche Habitat — Résidence Le Chêne du Posas à Sampzon ; attributaires et montants par lot"
SRC-0015,BOAMP — résultat n°16-121475,BOAMP,https://www.boamp.fr/telechargements/PDF/2016/BOAMP-N-IC-AA_2016_229006/16-121475.pdf,S1,national,2016,2026-09-17,primary,no,procurement,active,"Résultat de marché Ardèche Habitat — Privas Ilôt République et Ilôt ancien Hôpital ; attributaires et montants par lot"
